"","X","model","state","observations","dwell_time","estimates","true","mean","median","sd","bias_mean","bias_mean_pp","bias_median","bias_median_pp","coverage_pp"
"40",4,"mhmm",3,200,"99.5","gamma_prob_bar_S2toS1_no_diag",0.5,0.5,0.5,0.04,0,0.69,0,0.7,100
"41",5,"mhmm",3,200,"99.5","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
"42",6,"mhmm",3,200,"99.5","gamma_prob_bar_S2toS3_no_diag",0.5,0.5,0.5,0.04,0,0.69,0,0.7,100
"43",7,"mhmm",3,200,"99.5","gamma_prob_bar_S3toS1_no_diag",0.5,0.49,0.49,0.04,-0.01,2.64,-0.01,2.64,100
"44",8,"mhmm",3,200,"99.5","gamma_prob_bar_S3toS2_no_diag",0.5,0.51,0.51,0.04,0.01,2.64,0.01,2.64,100
"45",9,"mhmm",3,200,"99.5","gamma_prob_bar_S3toS3_no_diag",0,0,0,0,0,NA,0,NA,100
"46",10,"mhmm",3,200,"99.5","dwell_mu_bar_1",99.499,14.17,13.94,2.74,-85.33,85.76,-85.56,85.99,0
"47",11,"mhmm",3,200,"99.5","dwell_mu_bar_2",99.499,13.33,13.1,2.63,-86.17,86.6,-86.4,86.83,0
"48",12,"mhmm",3,200,"99.5","dwell_mu_bar_3",99.499,14.3,14.06,2.78,-85.2,85.63,-85.44,85.87,0
"49",1,"mhmm",3,500,"1.4","gamma_prob_bar_S1toS1_no_diag",0,0,0,0,0,NA,0,NA,100
"50",2,"mhmm",3,500,"1.4","gamma_prob_bar_S1toS2_no_diag",0.5,0.5,0.5,0.02,0,0.63,0,0.62,99.22
"51",3,"mhmm",3,500,"1.4","gamma_prob_bar_S1toS3_no_diag",0.5,0.5,0.5,0.02,0,0.63,0,0.62,99.22
"52",4,"mhmm",3,500,"1.4","gamma_prob_bar_S2toS1_no_diag",0.5,0.5,0.5,0.02,0,0.23,0,0.24,99.22
"53",5,"mhmm",3,500,"1.4","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
"54",6,"mhmm",3,500,"1.4","gamma_prob_bar_S2toS3_no_diag",0.5,0.5,0.5,0.02,0,0.23,0,0.24,99.22
"55",7,"mhmm",3,500,"1.4","gamma_prob_bar_S3toS1_no_diag",0.5,0.5,0.5,0.02,0,0.36,0,0.35,97.66
"56",8,"mhmm",3,500,"1.4","gamma_prob_bar_S3toS2_no_diag",0.5,0.5,0.5,0.02,0,0.36,0,0.35,97.66
"57",9,"mhmm",3,500,"1.4","gamma_prob_bar_S3toS3_no_diag",0,0,0,0,0,NA,0,NA,100
"58",10,"mhmm",3,500,"1.4","dwell_mu_bar_1",1.443,0.85,0.85,0.06,-0.59,40.78,-0.59,40.99,0
"59",11,"mhmm",3,500,"1.4","dwell_mu_bar_2",1.443,0.85,0.85,0.06,-0.59,40.85,-0.59,41.04,0
"60",12,"mhmm",3,500,"1.4","dwell_mu_bar_3",1.443,0.86,0.86,0.06,-0.58,40.31,-0.58,40.53,0
"61",1,"mhmm",3,500,"3.5","gamma_prob_bar_S1toS1_no_diag",0,0,0,0,0,NA,0,NA,100
"62",2,"mhmm",3,500,"3.5","gamma_prob_bar_S1toS2_no_diag",0.5,0.51,0.51,0.02,0.01,2.3,0.01,2.29,96.88
"63",3,"mhmm",3,500,"3.5","gamma_prob_bar_S1toS3_no_diag",0.5,0.49,0.49,0.02,-0.01,2.3,-0.01,2.29,96.88
"64",4,"mhmm",3,500,"3.5","gamma_prob_bar_S2toS1_no_diag",0.5,0.5,0.5,0.02,0,0.24,0,0.24,98.44
"65",5,"mhmm",3,500,"3.5","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
"66",6,"mhmm",3,500,"3.5","gamma_prob_bar_S2toS3_no_diag",0.5,0.5,0.5,0.02,0,0.24,0,0.24,98.44
"67",7,"mhmm",3,500,"3.5","gamma_prob_bar_S3toS1_no_diag",0.5,0.49,0.49,0.02,-0.01,2.02,-0.01,2.03,94.53
"68",8,"mhmm",3,500,"3.5","gamma_prob_bar_S3toS2_no_diag",0.5,0.51,0.51,0.02,0.01,2.02,0.01,2.03,94.53
"69",9,"mhmm",3,500,"3.5","gamma_prob_bar_S3toS3_no_diag",0,0,0,0,0,NA,0,NA,100
"70",10,"mhmm",3,500,"3.5","dwell_mu_bar_1",3.476,2.83,2.82,0.19,-0.65,18.61,-0.65,18.81,5.47
"71",11,"mhmm",3,500,"3.5","dwell_mu_bar_2",3.476,2.76,2.75,0.19,-0.72,20.58,-0.72,20.8,4.69
"72",12,"mhmm",3,500,"3.5","dwell_mu_bar_3",3.476,2.85,2.84,0.2,-0.63,18.03,-0.64,18.27,10.16
"73",1,"mhmm",3,500,"19.5","gamma_prob_bar_S1toS1_no_diag",0,0,0,0,0,NA,0,NA,100
"74",2,"mhmm",3,500,"19.5","gamma_prob_bar_S1toS2_no_diag",0.5,0.51,0.51,0.03,0.01,1.38,0.01,1.38,99.22
"75",3,"mhmm",3,500,"19.5","gamma_prob_bar_S1toS3_no_diag",0.5,0.49,0.49,0.03,-0.01,1.38,-0.01,1.38,99.22
"76",4,"mhmm",3,500,"19.5","gamma_prob_bar_S2toS1_no_diag",0.5,0.5,0.5,0.02,0,0.85,0,0.86,97.66
"77",5,"mhmm",3,500,"19.5","gamma_prob_bar_S2toS2_no_diag",0,0,0,0,0,NA,0,NA,100
