model,state,observations,dwell_time,estimates,TRUE,mean,median,sd,bias_mean,bias_mean_pp,bias_median,bias_median_pp,coverage_pp
medhmm,3,200,1.4,emiss_mu_bar_1,10,33,33,1.7,23,229.7,23,229.6,0
medhmm,3,200,1.4,emiss_mu_bar_2,30,33.3,33.3,1.6,3.3,11,3.3,11,31.2
medhmm,3,200,1.4,emiss_mu_bar_3,60,33.8,33.8,1.7,-26.2,43.7,-26.2,43.7,0
medhmm,3,200,1.4,emiss_mu_bar2_1,60,33.8,33.8,1.7,-26.2,43.7,-26.2,43.7,0
medhmm,3,200,1.4,emiss_mu_bar2_2,30,33.3,33.3,1.6,3.3,11,3.3,10.9,34.4
medhmm,3,200,1.4,emiss_mu_bar2_3,10,33,33,1.7,23,229.7,23,229.5,0
medhmm,3,200,1.4,emiss_var_bar_1,20,503.4,502.8,18.1,483.4,2416.7,482.8,2414.1,0
medhmm,3,200,1.4,emiss_var_bar_2,60,504.1,503.5,17,444.1,740.1,443.5,739.2,0
medhmm,3,200,1.4,emiss_var_bar_3,120,505.1,504.8,18,385.1,321,384.8,320.6,0
medhmm,3,200,1.4,emiss_var_bar2_1,150,521.8,521.4,18.9,371.8,247.9,371.4,247.6,0
medhmm,3,200,1.4,emiss_var_bar2_2,75,520,519.5,17.8,445,593.4,444.5,592.7,0
medhmm,3,200,1.4,emiss_var_bar2_3,25,519.6,519.2,18.9,494.6,1978.4,494.2,1976.7,0
medhmm,3,200,1.4,emiss_varmu_bar_1,9,122.9,118.8,32.2,113.9,1265.2,109.8,1220,0
medhmm,3,200,1.4,emiss_varmu_bar_2,9,107.7,104,29.9,98.7,1096.9,95,1055.3,0
medhmm,3,200,1.4,emiss_varmu_bar_3,9,127.2,123.2,32.7,118.2,1313.3,114.2,1269.4,0
medhmm,3,200,1.4,emiss_varmu_bar2_1,9,129.1,124.9,33.4,120.1,1334.2,115.9,1288.1,0
medhmm,3,200,1.4,emiss_varmu_bar2_2,9,108.9,105,30.4,99.9,1110.2,96,1067,0
medhmm,3,200,1.4,emiss_varmu_bar2_3,9,124.7,120.7,32.8,115.7,1285.4,111.7,1241.2,0
medhmm,3,200,1.4,dwell_mu_bar_1,0.4,2.3,2.3,0,1.9,528.2,1.9,528.2,0
medhmm,3,200,1.4,dwell_mu_bar_2,0.4,2.3,2.3,0,1.9,528.2,1.9,528.2,0
medhmm,3,200,1.4,dwell_mu_bar_3,0.4,2.3,2.3,0,1.9,528.2,1.9,528.2,0
medhmm,3,200,1.4,dwell_var_bar_1,0.1,0,0,0,-0.1,100,-0.1,100,0
medhmm,3,200,1.4,dwell_var_bar_2,0.1,0,0,0,-0.1,100,-0.1,100,0
medhmm,3,200,1.4,dwell_var_bar_3,0.1,0,0,0,-0.1,100,-0.1,100,0
medhmm,3,200,1.4,dwell_varmu_bar_1,0.2,0,0,0,-0.2,99.9,-0.2,99.9,0
medhmm,3,200,1.4,dwell_varmu_bar_2,0.2,0,0,0,-0.2,99.9,-0.2,99.9,0
medhmm,3,200,1.4,dwell_varmu_bar_3,0.2,0,0,0,-0.2,99.9,-0.2,99.9,0
medhmm,3,200,1.4,gamma_prob_bar_S1toS1,0,0,0,0,0,NA,0,NA,100
medhmm,3,200,1.4,gamma_prob_bar_S1toS2,0.5,0.6,0.6,0.1,0.1,15.9,0.1,16.4,100
medhmm,3,200,1.4,gamma_prob_bar_S1toS3,0.5,0.4,0.4,0.1,-0.1,15.9,-0.1,16.4,100
medhmm,3,200,1.4,gamma_prob_bar_S2toS1,0.5,0.5,0.5,0.1,0,0.1,0,0.1,100
medhmm,3,200,1.4,gamma_prob_bar_S2toS2,0,0,0,0,0,NA,0,NA,100
medhmm,3,200,1.4,gamma_prob_bar_S2toS3,0.5,0.5,0.5,0.1,0,0.1,0,0.1,100
medhmm,3,200,1.4,gamma_prob_bar_S3toS1,0.5,0.4,0.4,0.1,-0.1,15.4,-0.1,16.1,100
medhmm,3,200,1.4,gamma_prob_bar_S3toS2,0.5,0.6,0.6,0.1,0.1,15.4,0.1,16.1,100
medhmm,3,200,1.4,gamma_prob_bar_S3toS3,0,0,0,0,0,NA,0,NA,100
