"","model","state","observations","dwell_time","true_average_switches(mean)","MEDHMM_average_switches(mean)","MEDHMM_Proportion_exact_switch_point(mean)","true_average_switches(sd)","MEDHMM_average_switches(sd)","MEDHMM_Proportion_exact_switch_point(sd)","true_average_switches(2.5%)","MEDHMM_average_switches(2.5%)","MEDHMM_Proportion_exact_switch_point(2.5%)","true_average_switches(97.5%)","MEDHMM_average_switches(97.5%)","MEDHMM_Proportion_exact_switch_point(97.5%)"
"st_3_obs_2_dwell_1_mhmm","mhmm","3"," 500","1.4","304.538281","304.364648","0.0004476754"," 7.79055599"," 7.8639867","0.005064869","292.2153125","291.7800000","0","321.365937","321.170000","0.0000000"
"st_3_obs_2_dwell_2_mhmm","mhmm","3"," 500","3.5","131.362598","132.160742","0.0000000000"," 3.90802554"," 3.9066802","0.000000000","124.1518750","124.9953125","0","138.774375","139.575313","0.0000000"
"st_3_obs_2_dwell_3_mhmm","mhmm","3"," 500","19.5"," 22.966016"," 23.030664","0.0227436814"," 0.79666649"," 0.7959526","0.135610699"," 21.3609375"," 21.4668750","0"," 24.640000"," 24.701875","0.2792378"
"st_3_obs_2_dwell_4_mhmm","mhmm","3"," 500","99.5","  3.956836","  3.964258","0.5236281079"," 0.18854277"," 0.1883396","0.487333171","  3.6087500","  3.6109375","0","  4.422812","  4.433125","0.9897561"
"st_3_obs_3_dwell_1_mhmm","mhmm","3","1000","1.4","610.393066","610.157422","0.0000000000","13.37057987","13.6302077","0.000000000","584.7312500","583.2650000","0","632.525938","633.196563","0.0000000"
"st_3_obs_3_dwell_2_mhmm","mhmm","3","1000","3.5","265.491797","266.991699","0.0000000000"," 8.04355583"," 8.0278510","0.000000000","251.8603125","253.4425000","0","280.805937","282.764375","0.0000000"
"st_3_obs_3_dwell_3_mhmm","mhmm","3","1000","19.5"," 46.745312"," 46.857617","0.0000000000"," 1.40080650"," 1.4048305","0.000000000"," 44.2234375"," 44.3271875","0"," 49.191250"," 49.247812","0.0000000"
"st_3_obs_3_dwell_4_mhmm","mhmm","3","1000","99.5","  8.716895","  8.721289","0.6247439507"," 0.28960667"," 0.2904710","0.469788937","  8.1609375","  8.1609375","0","  9.220625","  9.220625","0.9857792"
"st_4_obs_1_dwell_1_mhmm","mhmm","4"," 200","1.4","120.065527","120.054102","0.0008989422"," 2.72286304"," 2.7506581","0.007661108","114.9700000","115.1050000","0","126.603437","126.347500","0.0000000"
"st_4_obs_1_dwell_2_mhmm","mhmm","4"," 200","3.5"," 51.720312"," 52.181641","0.0000000000"," 1.37044611"," 1.3872388","0.000000000"," 49.1790625"," 49.7093750","0"," 54.566563"," 54.911250","0.0000000"
