"","model","item","state","estimate","median","mean","sd","ci_025","ci_975"
"234","medhmm","full of ideas","2","var",415.016867396449,424.784294535023,66.6215223845042,320.72234152948,592.13030541949
"235","medhmm","full of ideas","3","var",231.278900626973,236.153481858895,51.7230379309882,151.602327427409,354.569107444345
"236","medhmm","full of ideas","4","var",47.3611509651481,49.3421993127047,10.1025631288417,35.1845141457327,74.6201459010013
"237","medhmm","thoughts are racing","1","var",87.2159232806188,91.700006733876,22.8779439262589,61.7759323400984,148.735244838028
"238","medhmm","thoughts are racing","2","var",478.335739083518,489.211258803206,69.2942653140294,390.080973079124,658.198980762155
"239","medhmm","thoughts are racing","3","var",446.503400584814,459.578416459017,71.7635840719411,350.607355719147,628.142994304224
"240","medhmm","thoughts are racing","4","var",91.3027499752642,93.5095310746697,18.9880745208079,63.0811133504702,137.446346002436
"241","medhmm","down","1","varmu",57.4476706010082,62.1936932358802,29.0315961156713,28.4885293995067,124.748584792393
"242","medhmm","down","2","varmu",242.649873819595,268.891386741725,119.711440754073,109.382342418794,579.532899043525
"243","medhmm","down","3","varmu",408.403373893062,454.291633757026,204.615468380909,185.479821429491,973.149229433161
"244","medhmm","down","4","varmu",525.081407298622,567.362407345707,223.528012632161,272.344809597695,1154.78114962533
"245","medhmm","dreadnest of day","1","varmu",56.1551926517791,60.8043062824184,23.4513268016001,29.6782301771148,124.286274902371
"246","medhmm","dreadnest of day","2","varmu",277.619928731322,301.444637793865,128.183622173536,113.685452776022,633.536726786475
"247","medhmm","dreadnest of day","3","varmu",588.076226359854,631.514115481472,266.551952953756,268.640548372947,1314.04861694308
"248","medhmm","dreadnest of day","4","varmu",457.338933864331,501.172591407456,217.846809060849,226.145642980785,1021.86127991796
"249","medhmm","worry","1","varmu",110.345511848324,120.546738310782,50.9940857216938,51.9055508852175,258.458879212371
"250","medhmm","worry","2","varmu",315.123344369945,351.104683438987,167.639325594531,144.147665843034,745.798587767811
