"","subj","variable","median","mean","sd","ci_025","ci_975","state"
"64",16,"S4toS4",0.61,0.6034238,0.0778822373616504,0.44838,0.7187,4
"65",17,"S1toS1",0.7373,0.7302777,0.0560391654182213,0.6222,0.8262425,1
"66",17,"S2toS2",0.2445,0.2318655,0.0999410884517019,0.0441,0.4133,2
"67",17,"S3toS3",0.3982,0.3950361,0.158745659755728,0.1012625,0.70974,3
"68",17,"S4toS4",0.459,0.4608958,0.0937661782229527,0.2881,0.6377525,4
"69",18,"S1toS1",0.9833,0.9827454,0.00467516588112294,0.9729,0.9908,1
"70",18,"S2toS2",0.5252,0.5158481,0.127648928963213,0.26089,0.7467625,2
"71",18,"S3toS3",0.3528,0.3667685,0.14374370849356,0.1277775,0.7223,3
"72",18,"S4toS4",0.5872,0.5745475,0.131626470823963,0.2683375,0.7942,4
"73",19,"S1toS1",0.8147,0.8095696,0.0485573600296912,0.7079,0.8902325,1
"74",19,"S2toS2",0.7052,0.7033703,0.0901716060989071,0.5185,0.8716,2
"75",19,"S3toS3",0.5466,0.5397131,0.100883876784078,0.3371,0.733,3
"76",19,"S4toS4",0.9087,0.9062031,0.0335955089053375,0.8293,0.967045,4
"77",20,"S1toS1",0.5899,0.591608,0.0671910453302564,0.4602,0.7127,1
"78",20,"S2toS2",0.5328,0.5315559,0.0698844281545502,0.3849,0.658,2
"79",20,"S3toS3",0.70025,0.6991262,0.0688136482956088,0.5714,0.8186,3
"80",20,"S4toS4",0.7447,0.7409482,0.0561571628886619,0.613185,0.8462,4
