"","model","variable","median","mean","sd","ci_025","ci_975"
"1","mhmm","dwell_mu_bar1",2.30477866492012,2.39985217041562,0.686428072118639,1.34060217405382,4.02421022942056
"2","mhmm","dwell_mu_bar2",1.84420925714142,1.88691731677596,0.434731635177125,1.20961459887826,2.91694028319107
"3","mhmm","dwell_mu_bar3",1.74458004917939,1.77816710869974,0.333452265356069,1.21779428583897,2.54373056053216
"4","mhmm","dwell_mu_bar4",3.83654396639039,4.05223972151386,1.37878882404597,2.16603684579531,7.55036389518462
