"","model","variable","expected_median","median","mean","sd","ci_025","ci_975"
"1","medhmm","logsigma21",1.66807289395747,0.509832991314389,0.511669004395027,0.05397820956413,0.40867410168531,0.625414452237581
"2","medhmm","logsigma22",1.61348913372823,0.474427655473807,0.478398997890504,0.057269710440652,0.37413153486712,0.604416374451411
"3","medhmm","logsigma23",1.77540817969259,0.569393863560158,0.574030356880734,0.0741840469817198,0.444058876056566,0.724976478670437
"4","medhmm","logsigma24",1.68541706842391,0.517392994029804,0.522013051529183,0.0623535049312801,0.411009799129435,0.652503656649416
