"","subj","variable","median","mean","sd","ci_025","ci_975","state"
"1",1,"logmu",1.57459981839521,1.57849581003953,0.621230945839621,0.355058010589759,2.83188217735876,1
"2",1,"logmu",1.74217806651281,1.75320962182084,0.401433088428892,1.0398546669382,2.60028799682416,2
"3",1,"logmu",1.89993307576291,1.96461441070107,0.394727523778849,1.37679215655737,2.87765095062528,3
"4",1,"logmu",1.63002652180758,1.61416494168241,0.615313371532297,0.30417221737391,2.79752020780252,4
"5",1,"logsigma2",0.509832991314389,0.511669004395027,0.05397820956413,0.40867410168531,0.625414452237581,1
"6",1,"logsigma2",0.474427655473807,0.478398997890504,0.057269710440652,0.37413153486712,0.604416374451411,2
"7",1,"logsigma2",0.569393863560158,0.574030356880734,0.0741840469817198,0.444058876056566,0.724976478670437,3
"8",1,"logsigma2",0.517392994029804,0.522013051529183,0.0623535049312801,0.411009799129435,0.652503656649416,4
"9",2,"logmu",1.56664232643473,1.586887538439,0.60672322909061,0.403133460181825,2.83075554370641,1
"10",2,"logmu",1.45625275391714,1.48397609812837,0.510640059802123,0.549065095669339,2.5333158678455,2
"11",2,"logmu",1.48372623596093,1.48038592937617,0.339297227344338,0.747225041976138,2.16256742213016,3
"12",2,"logmu",1.62411438465478,1.67180653780943,0.662973685115813,0.369817884429713,3.13426055797763,4
"13",2,"logsigma2",0.509832991314389,0.511669004395027,0.05397820956413,0.40867410168531,0.625414452237581,1
"14",2,"logsigma2",0.474427655473807,0.478398997890504,0.057269710440652,0.37413153486712,0.604416374451411,2
"15",2,"logsigma2",0.569393863560158,0.574030356880734,0.0741840469817198,0.444058876056566,0.724976478670437,3
"16",2,"logsigma2",0.517392994029804,0.522013051529183,0.0623535049312801,0.411009799129435,0.652503656649416,4
"17",3,"logmu",1.92220049362951,1.92882505004415,0.198378427236285,1.53989085200693,2.32177695070849,1
"18",3,"logmu",1.18572068705953,1.19132994970466,0.215170394543519,0.785163013645987,1.62813010639001,2
"19",3,"logmu",1.57185810857791,1.6184750751779,0.299159517317304,1.16015793280499,2.32234801497971,3
"20",3,"logmu",1.960138637167,1.97448069386605,0.275633017630224,1.46289741225635,2.55628893177392,4
"21",3,"logsigma2",0.509832991314389,0.511669004395027,0.05397820956413,0.40867410168531,0.625414452237581,1
"22",3,"logsigma2",0.474427655473807,0.478398997890504,0.057269710440652,0.37413153486712,0.604416374451411,2
"23",3,"logsigma2",0.569393863560158,0.574030356880734,0.0741840469817198,0.444058876056566,0.724976478670437,3
"24",3,"logsigma2",0.517392994029804,0.522013051529183,0.0623535049312801,0.411009799129435,0.652503656649416,4
"25",4,"logmu",1.59057027171237,1.5908658185105,0.628259785351322,0.337076841560469,2.95723267116429,1
"26",4,"logmu",1.57373165064332,1.58459528926922,0.183982489499373,1.25518726302273,1.95810090044381,2
"27",4,"logmu",1.44219893702508,1.44553685259843,0.147519028438841,1.16257995182106,1.73539299928216,3
"28",4,"logmu",1.63844831024863,1.63352986023223,0.595482491038954,0.327266748998097,2.90074190677386,4
"29",4,"logsigma2",0.509832991314389,0.511669004395027,0.05397820956413,0.40867410168531,0.625414452237581,1
"30",4,"logsigma2",0.474427655473807,0.478398997890504,0.057269710440652,0.37413153486712,0.604416374451411,2
"31",4,"logsigma2",0.569393863560158,0.574030356880734,0.0741840469817198,0.444058876056566,0.724976478670437,3
"32",4,"logsigma2",0.517392994029804,0.522013051529183,0.0623535049312801,0.411009799129435,0.652503656649416,4
"33",5,"logmu",1.61504958569642,1.61121986194742,0.192794709016632,1.24282173875044,1.98199987121009,1
"34",5,"logmu",1.07839209235454,1.09541875036549,0.275801452730035,0.591752032835973,1.69949529236656,2
"35",5,"logmu",1.55520386225478,1.56994427168243,0.281176695092872,1.05228696822128,2.20495956753468,3
"36",5,"logmu",1.57081074700929,1.56992275821244,0.230421667614284,1.13992484661967,2.0398702349413,4
"37",5,"logsigma2",0.509832991314389,0.511669004395027,0.05397820956413,0.40867410168531,0.625414452237581,1
"38",5,"logsigma2",0.474427655473807,0.478398997890504,0.057269710440652,0.37413153486712,0.604416374451411,2
"39",5,"logsigma2",0.569393863560158,0.574030356880734,0.0741840469817198,0.444058876056566,0.724976478670437,3
"40",5,"logsigma2",0.517392994029804,0.522013051529183,0.0623535049312801,0.411009799129435,0.652503656649416,4
"41",6,"logmu",1.59271481321136,1.59494618044227,0.139155582265872,1.33877163605754,1.88187219301502,1
"42",6,"logmu",2.10191446518711,2.10490278189823,0.354719201539529,1.46235483396814,2.8283990865097,2
"43",6,"logmu",1.64870175914941,1.69273934269403,0.326063886245783,1.14130079349175,2.45079561930671,3
"44",6,"logmu",1.4177163016556,1.43266012983446,0.173323833140026,1.15048044176279,1.8047350524829,4
"45",6,"logsigma2",0.509832991314389,0.511669004395027,0.05397820956413,0.40867410168531,0.625414452237581,1
"46",6,"logsigma2",0.474427655473807,0.478398997890504,0.057269710440652,0.37413153486712,0.604416374451411,2
"47",6,"logsigma2",0.569393863560158,0.574030356880734,0.0741840469817198,0.444058876056566,0.724976478670437,3
"48",6,"logsigma2",0.517392994029804,0.522013051529183,0.0623535049312801,0.411009799129435,0.652503656649416,4
"49",7,"logmu",2.58924516932785,2.59614495349634,0.245708603189848,2.13722218260835,3.08743554537428,1
"50",7,"logmu",1.45794557614308,1.45383580896548,0.508504183881885,0.477243951715682,2.51747039845117,2
"51",7,"logmu",1.40616694138739,1.39546484611913,0.325216109766576,0.698608242143897,1.9958612825075,3
"52",7,"logmu",1.06675370762915,1.0637465085707,0.179831604220104,0.690502417706752,1.40330117942965,4
"53",7,"logsigma2",0.509832991314389,0.511669004395027,0.05397820956413,0.40867410168531,0.625414452237581,1
"54",7,"logsigma2",0.474427655473807,0.478398997890504,0.057269710440652,0.37413153486712,0.604416374451411,2
"55",7,"logsigma2",0.569393863560158,0.574030356880734,0.0741840469817198,0.444058876056566,0.724976478670437,3
"56",7,"logsigma2",0.517392994029804,0.522013051529183,0.0623535049312801,0.411009799129435,0.652503656649416,4
"57",8,"logmu",1.46103549203115,1.50898596559681,0.56611411365002,0.480375545952522,2.71576992136408,1
"58",8,"logmu",2.42056155594252,2.4089087672169,0.446402332597324,1.56985672048873,3.3041701169347,2
